robs,piexp,dw,dc,dinve,dy,pinfobs
0.180374633917251,-0.0475102338640443,-0.0341753769189427,-0.188744159044979,-0.295242964247459,-0.187215579490434,-0.0394927044543624
0.132205804510722,-0.0473392550919571,-0.0362636031713882,-0.102164332016084,-0.166579581572214,-0.103178534549568,-0.0475102338640436
0.0877120111529212,-0.0445836499433636,-0.0280335354018595,-0.043045642394076,-0.0759743260984808,-0.0445876712962728,-0.0473392550919511
0.0521807252401203,-0.0408212022797685,-0.0186304867043431,-0.00468230329311918,-0.0154144966229057,-0.00602734889770076,-0.0445836499433525
0.0259655296751375,-0.0366484165576407,-0.0103094091236525,0.0184588053484812,0.0224404397491251,0.0175821463554153,-0.0408212022797533
0.00773183371646518,-0.0323770102810718,-0.00357516345580604,0.0309297273608814,0.0438818795037215,0.0305699899405683,-0.0366484165576226
-0.0042345198847882,-0.0282020501576704,0.00156932473724555,0.0362496316129312,0.0539444058107677,0.0363415981221789,-0.0323770102810516
-0.0115299041431799,-0.0242503824696892,0.00528589743898976,0.037005447155097,0.0564647681746323,0.0374357871552666,-0.0282020501576494
-0.0154773262159907,-0.0206008564359326,0.00779063116151188,0.0350269867018326,0.0542614229800571,0.0356737740880018,-0.0242503824696679
-0.017109835756856,-0.0172967875744441,0.00930832795122321,0.0315665314383074,0.0493403272341992,0.0323206633443297,-0.0206008564359111
-0.0172047373186113,-0.0143552957350726,0.0100508091689336,0.0274530944808083,0.0430845835804203,0.028227669149398,-0.0172967875744231
-0.0163311084824845,-0.0117746809915773,0.0102064992101435,0.0232142660448393,0.0364134965894123,0.02394659942952,-0.0143552957350526
-0.0148956779554453,-0.00954025520416874,0.00993629686080309,0.0191680437013151,0.0299093320261777,0.0198176650384426,-0.0117746809915577
-0.0131819985201316,-0.00762888727321158,0.00937313242438675,0.015490021101917,0.0239151288118887,0.0160348457516864,-0.00954025520414932
-0.0113819989538759,-0.00601247733955677,0.0086236372591026,0.0122615195653336,0.0186084296415552,0.0126935341947875,-0.00762888727319254
-0.00962058558715296,-0.00466055143646912,0.00777092135976891,0.00950347767480055,0.0140557927189532,0.00982467387444659,-0.0060124773395388
-0.00797443833102574,-0.00354214554919176,0.00687781577415836,0.00719992713967251,0.0102523674996568,0.00741883142596102,-0.00466055143645148
-0.00648616546958383,-0.00262712510541071,0.00599017794493508,0.00531397092307776,0.00715008474573227,0.00544288370108322,-0.00354214554917407
-0.0051748380766472,-0.00188706360494451,0.00514002102905972,0.00379842963970179,0.00467730369905024,0.00385135397753484,-0.00262712510539157
-0.00404374274688543,-0.00129578334605358,0.00434833746750296,0.00260273959249168,0.00275214216118803,0.00259391557453342,-0.00188706360492501
-0.00308601911925077,-0.000829642563777787,0.00362755891387016,0.0016772470882468,0.00129120394803047,0.00162018301160244,-0.00129578334603224
-0.00228870214338925,-0.00046763698174735,0.00298364046687012,0.000975719341455722,0.000215006866459961,0.000882609644222128,-0.000829642563756439
-0.00163557031472052,-0.000191369796365545,0.00241778504493507,0.000456655267467633,-0.000548910154612046,0.00033808562788457,-0.000467636981724469
-0.00110910728730587,1.50676638714022e-05,0.00192783941508417,8.3807608399407e-05,-0.00106447457676823,-5.13367436525443e-05,-0.000191369796338578
-0.000691811127304426,0.000165272126798161,0.0015094009005453,-0.000173796060076913,-0.00138663032099449,-0.00031828611720939,1.50676638986418e-05
-0.000367028860059583,0.000270736918860075,0.00115667600382781,-0.000342134763091031,-0.00156156605061441,-0.000490269321784894,0.000165272126827828
-0.000119450343234438,0.000341074803777167,0.000863131092713165,-0.000442642746183459,-0.00162734865925651,-0.000590074019052394,0.000270736918894872
6.46380125394923e-05,0.000384242177558318,0.000621972284524173,-0.000492735020519238,-0.00161477198700223,-0.000636275398644697,0.000341074803809884
0.000197264829117739,0.00040675569039273,0.000426487662877371,-0.000506351267003713,-0.00154829201937865,-0.000643779577787741,0.000384242177597969
0.000288795419816024,0.000413895459482703,0.00027028058805607,-0.00049448164722352,-0.00144696440712597,-0.00062436055929428,0.000406755690432468
0.000348023217800125,0.000409891381692804,0.000147418510574347,-0.000465653310859861,-0.00132533212521941,-0.000587164598370264,0.000413895459526908
0.00038230198000511,0.00039809079522402,5.25176047584994e-05,-0.000426366720280833,-0.00119423361753805,-0.000539167580407502,0.000409891381749169
0.000397698291348481,0.000381106998794402,-1.9220164666772e-05,-0.000381477755464144,-0.0010615172845512,-0.0004855789667968,0.000398090795284149
0.000399150262875128,0.000360949018262327,-7.20041868944091e-05,-0.000334525945370544,-0.000932658531630402,-0.000430191094051984,0.000381106998847312
0.000390623035573248,0.000339133599036729,-0.000109476003075543,-0.000288011838583783,-0.000811282227113656,-0.000375675902273371,0.000360949018328126
0.0003752551561387,0.000316780768725382,-0.000134745560096328,-0.00024362801169612,-0.000699597392300663,-0.000323833101202502,0.000339133599111795
0.000355492383871564,0.000294694513745962,-0.000150436676729195,-0.000202448901523859,-0.000598753062514562,-0.000275794778421022,0.000316780768821646
0.000333207252799475,0.000273430191394825,-0.000158737072658549,-0.000165084810737701,-0.000509125110588339,-0.000232191821507229,0.000294694513831537
0.000309803931348921,0.000253350290980327,-0.000161449590582452,-0.000131805268112038,-0.000430543844695347,-0.000193287484054037,0.000273430191497004
0.00028630873380327,0.000234670090327636,-0.000160042253207945,-0.000102636559269828,-0.000362471693678256,-0.000159083130933369,0.000253350291094435
0.000263447150775132,0.000217494650042308,-0.000155695583618867,-7.74377747436319e-05,-0.000304139494411117,-0.000129400760809952,0.000234670090430401
